0:0:0:0:0:0:0:1 - - [22/Jun/2022:18:49:58 +1000] "GET /TempelateIntegrationProject/images/p10.png HTTP/1.1" 200 213148
0:0:0:0:0:0:0:1 - - [22/Jun/2022:18:49:58 +1000] "GET /TempelateIntegrationProject/images/p11.png HTTP/1.1" 200 299763
0:0:0:0:0:0:0:1 - - [22/Jun/2022:18:49:58 +1000] "GET /TempelateIntegrationProject/images/p12.png HTTP/1.1" 200 203553
0:0:0:0:0:0:0:1 - - [22/Jun/2022:18:49:58 +1000] "GET /TempelateIntegrationProject/images/client.jpg HTTP/1.1" 200 38660
0:0:0:0:0:0:0:1 - - [22/Jun/2022:18:49:58 +1000] "GET /TempelateIntegrationProject/fonts/fontawesome-webfont.woff2?v=4.7.0 HTTP/1.1" 200 77160
0:0:0:0:0:0:0:1 - - [22/Jun/2022:18:49:58 +1000] "GET /TempelateIntegrationProject/index.jsp HTTP/1.1" 200 50622
0:0:0:0:0:0:0:1 - - [22/Jun/2022:18:49:59 +1000] "GET /TempelateIntegrationProject/images/favicon.png HTTP/1.1" 200 8416
0:0:0:0:0:0:0:1 - - [22/Jun/2022:18:51:29 +1000] "GET /TempelateIntegrationProject/index.jsp HTTP/1.1" 200 51246
0:0:0:0:0:0:0:1 - - [22/Jun/2022:18:51:29 +1000] "GET /TempelateIntegrationProject/css/responsive.css HTTP/1.1" 200 1798
0:0:0:0:0:0:0:1 - - [22/Jun/2022:18:51:29 +1000] "GET /TempelateIntegrationProject/js/jquery-3.4.1.min.js HTTP/1.1" 200 88144
0:0:0:0:0:0:0:1 - - [22/Jun/2022:18:51:29 +1000] "GET /TempelateIntegrationProject/css/style.css HTTP/1.1" 200 21918
0:0:0:0:0:0:0:1 - - [22/Jun/2022:18:51:29 +1000] "GET /TempelateIntegrationProject/css/font-awesome.min.css HTTP/1.1" 200 31000
0:0:0:0:0:0:0:1 - - [22/Jun/2022:18:51:29 +1000] "GET /TempelateIntegrationProject/js/popper.min.js HTTP/1.1" 200 21257
0:0:0:0:0:0:0:1 - - [22/Jun/2022:18:51:29 +1000] "GET /TempelateIntegrationProject/css/bootstrap.css HTTP/1.1" 200 192348
0:0:0:0:0:0:0:1 - - [22/Jun/2022:18:51:29 +1000] "GET /TempelateIntegrationProject/js/bootstrap.js HTTP/1.1" 200 136797
0:0:0:0:0:0:0:1 - - [22/Jun/2022:18:51:29 +1000] "GET /TempelateIntegrationProject/js/custom.js HTTP/1.1" 200 962
0:0:0:0:0:0:0:1 - - [22/Jun/2022:18:51:29 +1000] "GET /TempelateIntegrationProject/images/logo.png HTTP/1.1" 200 13873
0:0:0:0:0:0:0:1 - - [22/Jun/2022:18:51:29 +1000] "GET /TempelateIntegrationProject/images/slider-bg.jpg HTTP/1.1" 200 137672
0:0:0:0:0:0:0:1 - - [22/Jun/2022:18:51:29 +1000] "GET /TempelateIntegrationProject/images/arrival-bg.png HTTP/1.1" 200 955039
0:0:0:0:0:0:0:1 - - [22/Jun/2022:18:51:29 +1000] "GET /TempelateIntegrationProject/images/p1.png HTTP/1.1" 200 189962
0:0:0:0:0:0:0:1 - - [22/Jun/2022:18:51:29 +1000] "GET /TempelateIntegrationProject/images/p2.png HTTP/1.1" 200 80889
0:0:0:0:0:0:0:1 - - [22/Jun/2022:18:51:29 +1000] "GET /TempelateIntegrationProject/images/p3.png HTTP/1.1" 200 40160
0:0:0:0:0:0:0:1 - - [22/Jun/2022:18:51:29 +1000] "GET /TempelateIntegrationProject/images/p4.png HTTP/1.1" 200 122775
0:0:0:0:0:0:0:1 - - [22/Jun/2022:18:51:29 +1000] "GET /TempelateIntegrationProject/images/p5.png HTTP/1.1" 200 141724
0:0:0:0:0:0:0:1 - - [22/Jun/2022:18:51:29 +1000] "GET /TempelateIntegrationProject/images/p6.png HTTP/1.1" 200 311345
0:0:0:0:0:0:0:1 - - [22/Jun/2022:18:51:29 +1000] "GET /TempelateIntegrationProject/images/p7.png HTTP/1.1" 200 90300
0:0:0:0:0:0:0:1 - - [22/Jun/2022:18:51:29 +1000] "GET /TempelateIntegrationProject/images/p8.png HTTP/1.1" 200 164558
0:0:0:0:0:0:0:1 - - [22/Jun/2022:18:51:29 +1000] "GET /TempelateIntegrationProject/images/p9.png HTTP/1.1" 200 221725
0:0:0:0:0:0:0:1 - - [22/Jun/2022:18:51:29 +1000] "GET /TempelateIntegrationProject/images/p10.png HTTP/1.1" 200 213148
0:0:0:0:0:0:0:1 - - [22/Jun/2022:18:51:29 +1000] "GET /TempelateIntegrationProject/images/p11.png HTTP/1.1" 200 299763
0:0:0:0:0:0:0:1 - - [22/Jun/2022:18:51:29 +1000] "GET /TempelateIntegrationProject/images/client.jpg HTTP/1.1" 200 38660
0:0:0:0:0:0:0:1 - - [22/Jun/2022:18:51:29 +1000] "GET /TempelateIntegrationProject/images/p12.png HTTP/1.1" 200 203553
0:0:0:0:0:0:0:1 - - [22/Jun/2022:18:51:29 +1000] "GET /TempelateIntegrationProject/index.jsp HTTP/1.1" 200 51246
0:0:0:0:0:0:0:1 - - [22/Jun/2022:18:51:29 +1000] "GET /TempelateIntegrationProject/fonts/fontawesome-webfont.woff2?v=4.7.0 HTTP/1.1" 200 77160
0:0:0:0:0:0:0:1 - - [22/Jun/2022:18:51:30 +1000] "GET /TempelateIntegrationProject/images/favicon.png HTTP/1.1" 200 8416
0:0:0:0:0:0:0:1 - - [22/Jun/2022:18:51:37 +1000] "GET /TempelateIntegrationProject/login.jsp HTTP/1.1" 200 13661
0:0:0:0:0:0:0:1 - - [22/Jun/2022:18:51:37 +1000] "GET /TempelateIntegrationProject/login.jsp HTTP/1.1" 200 13661
0:0:0:0:0:0:0:1 - - [22/Jun/2022:18:51:56 +1000] "POST /TempelateIntegrationProject/UserController HTTP/1.1" 200 51207
0:0:0:0:0:0:0:1 - - [22/Jun/2022:18:51:56 +1000] "GET /TempelateIntegrationProject/UserController HTTP/1.1" 405 751
0:0:0:0:0:0:0:1 - - [22/Jun/2022:18:52:02 +1000] "GET /TempelateIntegrationProject/logout.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Jun/2022:18:52:02 +1000] "GET /TempelateIntegrationProject/login.jsp HTTP/1.1" 200 13661
0:0:0:0:0:0:0:1 - - [22/Jun/2022:18:52:02 +1000] "GET /TempelateIntegrationProject/login.jsp HTTP/1.1" 200 13661
